datum;factuur;product;omschrijving;aantal;prijs;eenheid
2025-07-29;1247;Aanbetaling (4);Aanbetaling - factuur 822 van 04-06-2025.;-1;630.74;prijs
2025-07-29;1248;Aanbetaling (4);Aanbetaling Prijsopgave rolluik (3924);1;544.84;prijs
2025-07-29;1249;Aanbetaling (4);Aanbetaling Prijsopgave Sonty (3897);1;739.5;prijs
2025-07-29;1250;Aanbetaling (4);Aanbetaling Prijsopgave knikarmscherm (3932);1;977.07;prijs
2025-07-29;1251;Aanbetaling (4);Aanbetaling Prijsopgaaf Sonty. (3974);1;1889.55;prijs
2025-07-29;1252;Aanbetaling (4);Aanbetaling Prijsopgave Sonty (3963);1;1419.5;prijs
2025-07-29;1253;Aanbetaling (4);Aanbetaling Prijsopgave hordeur (3962);1;311.4;prijs
2025-07-29;1254;Aanbetaling (4);Aanbetaling Prijsopgave Sonty (3961);1;859.5;prijs
2025-07-29;1255;Aanbetaling (4);Aanbetaling Prijsopgaaf Sonty. (3965);1;579.84;prijs
2025-07-29;1256;Aanbetaling (4);Aanbetaling Prijsopgave (3745);1;1253.22;prijs
2025-07-29;1257;Aanbetaling (4);Aanbetaling Prijsopgaaf Rolluiken. (3820);1;966.62;prijs
2025-07-29;1258;Aanbetaling (4);Aanbetaling Prijsopgave Sonty ROMA (3991);1;4123.3;prijs
2025-07-30;1259;Aanbetaling (4);Aanbetaling Prijsopgave Sonty (3978);1;1047.27;prijs
2025-07-30;1261;Aanbetaling (4);Aanbetaling Prijsopgave Sonty (4021);1;2079.34;prijs
2025-07-30;1262;Aanbetaling (4);Aanbetaling Prijsopgaaf Sonty (3856);1;524.3;prijs
2025-07-30;1260;Aanbetaling (4);Aanbetaling Prijsopgave Sonty (3976);1;458.86;prijs
2025-07-30;1263;Aanbetaling (4);Aanbetaling Prijsopgave gordijn en horren (3811);1;741.92;prijs
2025-07-30;1264;Aanbetaling (4);Aanbetaling Prijsopgaaf Sonty. (4028);1;2250.58;prijs
2025-07-30;1265;Rolluik (RollSUPER) (20064);Breedte: 2250 mm<p>Hoogte:&nbsp, 1700 mm</p><p>Kastmaat: 170 mm (schuin)</p><p>Kleur Omvatting: RAL 7016</p><p>Kleur Pan;1;1124.79;stuks
2025-07-30;1265;Situo 1 IO (20047);- 1 kanaal afstandsbediening;1;61.98;stuks
2025-07-30;1265;Montage rolluik solar (20241);- Montage<p>- Klein materiaal</p><p>- Afstellen motor</p>;1;123.97;stuks
2025-07-30;1265;Korting (20090);Tijdelijke actie, 15% korting;1;-196.69;prijs
2025-07-30;1265;Aanbetaling (4);Aanbetaling - factuur 646 van 10-05-2025.;-1;445.62;prijs
2025-07-31;1267;Suneye (20131);Breedte: 4600 mm<p>Uitval: 3000 mm</p><p>Kleur cassette: RAL 7016 Structuur (antraciet)</p><p>Kleur doek: 8779</p><p>Bed;1;2606.61;stuks
2025-07-31;1267;Montage Knikarmscherm uitgebreid. (20237);- Montage d.m.v. chemisch anker<p>- Afwerken elektra</p><p>- Klein materiaal</p><p>- Afstellen zonwering </p>;1;247.93;stuks
2025-07-31;1267;Verlengd montage profiel rond (50cm) (20041);<p>- Set verlengde muursteunen t.b.v. montage scherm<br>- RAL 7016 STR<br></p>;1;82.64;stuks
2025-07-31;1267;Korting (20090);Tijdelijke actie, 15% korting&nbsp,;1;-441.31;prijs
2025-07-31;1267;Aanbetaling (4);Aanbetaling - factuur 738 van 22-05-2025.;-1;998.35;prijs
2025-07-31;1268;Suncube 150 (20150);Type: Uitvalscherm<p>Breedte:&nbsp, 1760mm</p><p>Uitval: 700 mm</p><p>Systeemkleur: Ral 9001</p><p>Doekcode: 8555</p><p>;1;967.77;stuks
2025-07-31;1268;Suncube 150 (20150);Type: Uitvalscherm<p>Breedte: 3700 mm</p><p>Uitval: 700 mm</p><p>Systeemkleur: Ral 9001</p><p>Doekcode: 8555</p><p>Bedie;1;1318.18;stuks
2025-07-31;1268;Suncube 150 (20150);Type: Uitvalscherm<p>Breedte: 2200 mm</p><p>Uitval: 1150 mm</p><p>Systeemkleur: Ral 9001</p><p>Doekcode: 8555</p><p>Bedi;1;1395.87;stuks
2025-07-31;1268;Suncube 150 (20150);Type: Uitvalscherm<p>Breedte: 3550 mm</p><p>Uitval:&nbsp, 1150mm</p><p>Systeemkleur: Ral 9001</p><p>Doekcode: 8555</p><p;1;1696.69;stuks
